NCIt Code,NCIt Preferred Term,NCIm CUI,NCIm Preferred Name,NCIm Source,Term Type,Source Code,Source Term
C7419,Acanthoma,C0846967,Acanthoma,GARD,PT,8604,Acanthoma
C7419,Acanthoma,C0846967,Acanthoma,MDR,LLT,10059394,Acanthoma
C7419,Acanthoma,C0846967,Acanthoma,MDR,PT,10059394,Acanthoma
C7419,Acanthoma,C0846967,Acanthoma,MSH,MH,D049309,Acanthoma
C7419,Acanthoma,C0846967,Acanthoma,MSH,PM,D049309,Acanthomas
C7419,Acanthoma,C0846967,Acanthoma,NDFRT,PT,N0000011094,Acanthoma
C7419,Acanthoma,C0846967,Acanthoma,NDFRT,FN,N0000011094,Acanthoma [Disease/Finding]
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MDR,LLT,10051067,Accelerated phase chronic myologenic leukaemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MDR,LLT,10054307,Accelerated phase chronic myologenic leukemia
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,DEV,D015465,CML ACCELERATED
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,DEV,D015465,CML AGGRESSIVE
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Leukemia, Myelogenous, Aggressive Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Leukemia, Myelogenous, Aggressive-Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,MH,D015465,"Leukemia, Myeloid, Accelerated Phase"
C3173,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0023472,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",MSH,ET,D015465,"Leukemia, Myeloid, Accelerated-Phase"
