"Code","Preferred Term","Relationship","Code2","Preferred Term2"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_Has_Molecular_Abnormality","C36715","BCR-ABL1 Fusion Protein Expression"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_Mapped_To_Gene","C17346","ABL1 Gene"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_Mapped_To_Gene","C94600","BCR/ABL1 Fusion Gene"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Cytogenetic_Abnormality","C36477","i(17q)"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Cytogenetic_Abnormality","C36605","i(19)"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Cytogenetic_Abnormality","C36599","Loss of Chromosome Y"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Cytogenetic_Abnormality","C36411","Monosomy 7"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Cytogenetic_Abnormality","C28452","Philadelphia Chromosome"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Cytogenetic_Abnormality","C36606","t(3;21)(q26;q22)"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Cytogenetic_Abnormality","C13271","t(9;22)(q34.1;q11.2)"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Cytogenetic_Abnormality","C36396","Trisomy 8"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Molecular_Abnormality","C41074","EVI1-AML1 Fusion Protein Expression"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Molecular_Abnormality","C36714","p190 Fusion Protein Expression"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Molecular_Abnormality","C36712","p210 Fusion Protein Expression"
"C3173","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","Disease_May_Have_Molecular_Abnormality","C36713","p230 Fusion Protein Expression"
"C45929","Acidophil Stem Cell Pituitary Gland Adenoma","Disease_May_Have_Molecular_Abnormality","C43539","Pituitary Tumor Transforming Gene Overexpression"
"C5649","Acinar Lung Adenocarcinoma","Disease_Mapped_To_Gene","C38184","ALK Gene"
"C5649","Acinar Lung Adenocarcinoma","Disease_Mapped_To_Gene","C17757","EGFR Gene"
"C5649","Acinar Lung Adenocarcinoma","Disease_Mapped_To_Gene","C99724","EML4/ALK Fusion Gene"
"C5649","Acinar Lung Adenocarcinoma","Disease_Mapped_To_Gene","C25785","KRAS Gene"
"C5649","Acinar Lung Adenocarcinoma","Disease_Mapped_To_Gene","C17359","TP53 Gene"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36482","Gain of Chromosome 1q"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C36480","Gain of Chromosome 20q"
"C5649","Acinar Lung Adenocarcinoma","Disease_May_Have_Cytogenetic_Abnormality","C45566","Gain of Chromosome 3q24-qter"
