disease_id,molecular_id,Relationship,source
808,1,Disease_Has_Molecular_Abnormality,NCI_Thesaurus
808,2,Disease_Mapped_To_Gene,NCI_Thesaurus
808,3,Disease_Mapped_To_Gene,NCI_Thesaurus
808,4,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
808,5,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
808,6,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
808,7,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
808,8,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
808,9,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
808,10,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
808,11,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
808,12,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
808,13,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
808,14,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
808,15,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
105,16,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
296,17,Disease_Mapped_To_Gene,NCI_Thesaurus
296,18,Disease_Mapped_To_Gene,NCI_Thesaurus
296,19,Disease_Mapped_To_Gene,NCI_Thesaurus
296,20,Disease_Mapped_To_Gene,NCI_Thesaurus
296,21,Disease_Mapped_To_Gene,NCI_Thesaurus
296,22,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,23,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,24,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,25,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,26,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,27,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,28,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,29,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,30,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,31,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,32,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,6,Disease_May_Have_Cytogenetic_Abnormality,NCI_Thesaurus
296,34,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
296,35,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
296,36,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
296,37,Disease_May_Have_Molecular_Abnormality,NCI_Thesaurus
