higher_disease,lower_disease,source
1,2,NCI_Thesaurus
1,3,NCI_Thesaurus
1,4,NCI_Thesaurus
1,5,NCI_Thesaurus
1,6,NCI_Thesaurus
1,7,NCI_Thesaurus
1,8,NCI_Thesaurus
1,9,NCI_Thesaurus
1,10,NCI_Thesaurus
1,11,NCI_Thesaurus
1,12,NCI_Thesaurus
12,13,NCI_Thesaurus
12,14,NCI_Thesaurus
1,15,NCI_Thesaurus
1,16,NCI_Thesaurus
1,17,NCI_Thesaurus
17,18,NCI_Thesaurus
17,19,NCI_Thesaurus
17,20,NCI_Thesaurus
17,21,NCI_Thesaurus
17,22,NCI_Thesaurus
17,23,NCI_Thesaurus
17,24,NCI_Thesaurus
17,25,NCI_Thesaurus
1,26,NCI_Thesaurus
1,27,NCI_Thesaurus
1,28,NCI_Thesaurus
1,29,NCI_Thesaurus
1,30,NCI_Thesaurus
30,31,NCI_Thesaurus
30,32,NCI_Thesaurus
30,33,NCI_Thesaurus
30,34,NCI_Thesaurus
34,35,NCI_Thesaurus
1,36,NCI_Thesaurus
36,37,NCI_Thesaurus
36,38,NCI_Thesaurus
36,39,NCI_Thesaurus
36,40,NCI_Thesaurus
36,41,NCI_Thesaurus
1,42,NCI_Thesaurus
1,43,NCI_Thesaurus
1,44,NCI_Thesaurus
44,45,NCI_Thesaurus
44,46,NCI_Thesaurus
1,47,NCI_Thesaurus
47,48,NCI_Thesaurus
47,49,NCI_Thesaurus
1,50,NCI_Thesaurus
50,51,NCI_Thesaurus
50,52,NCI_Thesaurus
1,53,NCI_Thesaurus
1,54,NCI_Thesaurus
1,55,NCI_Thesaurus
55,56,NCI_Thesaurus
1,57,NCI_Thesaurus
1,58,NCI_Thesaurus
1,59,NCI_Thesaurus
1,60,NCI_Thesaurus
60,61,NCI_Thesaurus
60,62,NCI_Thesaurus
60,63,NCI_Thesaurus
60,64,NCI_Thesaurus
60,65,NCI_Thesaurus
60,66,NCI_Thesaurus
1,67,NCI_Thesaurus
1,68,NCI_Thesaurus
1,69,NCI_Thesaurus
69,70,NCI_Thesaurus
69,71,NCI_Thesaurus
1,72,NCI_Thesaurus
1,73,NCI_Thesaurus
1,74,NCI_Thesaurus
74,75,NCI_Thesaurus
1,76,NCI_Thesaurus
1,77,NCI_Thesaurus
1,78,NCI_Thesaurus
1,79,NCI_Thesaurus
1,80,NCI_Thesaurus
1,81,NCI_Thesaurus
1,82,NCI_Thesaurus
82,83,NCI_Thesaurus
82,84,NCI_Thesaurus
1,85,NCI_Thesaurus
1,86,NCI_Thesaurus
1,87,NCI_Thesaurus
1,88,NCI_Thesaurus
1,89,NCI_Thesaurus
1,90,NCI_Thesaurus
1,91,NCI_Thesaurus
1,92,NCI_Thesaurus
1,93,NCI_Thesaurus
1,94,NCI_Thesaurus
94,95,NCI_Thesaurus
94,96,NCI_Thesaurus
94,97,NCI_Thesaurus
1,98,NCI_Thesaurus
98,99,NCI_Thesaurus
98,100,NCI_Thesaurus
1,101,NCI_Thesaurus
1,102,NCI_Thesaurus
1,103,NCI_Thesaurus
1,104,NCI_Thesaurus
104,105,NCI_Thesaurus
104,106,NCI_Thesaurus
104,107,NCI_Thesaurus
104,108,NCI_Thesaurus
108,109,NCI_Thesaurus
108,110,NCI_Thesaurus
104,111,NCI_Thesaurus
104,112,NCI_Thesaurus
104,113,NCI_Thesaurus
104,114,NCI_Thesaurus
114,115,NCI_Thesaurus
104,116,NCI_Thesaurus
104,117,NCI_Thesaurus
104,118,NCI_Thesaurus
104,119,NCI_Thesaurus
104,120,NCI_Thesaurus
1,121,NCI_Thesaurus
121,33,NCI_Thesaurus
121,122,NCI_Thesaurus
121,123,NCI_Thesaurus
121,124,NCI_Thesaurus
124,125,NCI_Thesaurus
124,126,NCI_Thesaurus
1,127,NCI_Thesaurus
1,128,NCI_Thesaurus
1,129,NCI_Thesaurus
1,130,NCI_Thesaurus
130,131,NCI_Thesaurus
130,132,NCI_Thesaurus
1,133,NCI_Thesaurus
133,134,NCI_Thesaurus
